FPVaI - Katedra chémie
FPVaI - Katedra matematiky
FPVaI - Katedra fyziky
FPVaI - Katedra zoológie a antropológie
"FPVaI - Katedra geografie, geoinformatiky a regionálneho rozvoja"
FPVaI - Katedra informatiky
FPVaI - Katedra ekológie a environmentalistiky
FPVaI - Dekanát Fakulty prírodných vied a informatiky
FPVaI - Katedra ekológie a environment.
FPVaI - Katedra botaniky a genetiky
FPVaI - Katedra geografie a reg. rozvoja
FPVaI - Ústav ekonomiky a manažmentu
FPVaI - Ústav  ekonomiky a manažmentu
FPVaI - Dekanát Fakulty prírodných vied
FPV - doktorandské štúdium
PF - Katedra pedagogiky
PF - Katedra telesnej výchovy a športu
PF - Katedra anglického jazyka a kultúry
PF - Katedra výtvarnej tvorby a výchovy
PF - Katedra techniky a informačných technológií
PF - Dekanát Pedagogickej fakulty
PF - Katedra pedagogickej a školskej psychológie
PF - Katedra lingvodid.a interkult.štúdi
PF - doktorandské štúdium
PF - Katedra techniky a inf. technológií
PF - Katedra hudby
FF - Dekanát Filozofickej fakulty
FF - Katedra slovanských filológií
FF - Katedra etiky a estetiky
FF - Katedra histórie
"FF - Ústav manažmentu kultúry a turizmu, kulturológie a etnológie"
FF - Katedra manažmentu kult.a turizmu
FF - Ústav pre v. k. d. Konšt. a Metoda
FF - Katedra filozofie a politológie
FF - Katedra romanistiky
FF - Katedra etnológie a folkloristiky
FF - Ústav lit. a umeleckej komunikácie
FF - Katedra anglistiky a amerikanistiky
FF - Katedra romanistiky a germanistiky
FF - Katedra slovenského jazyka a literatúry
FF - Katedra slovenského jazyka a litera
FF - Katedra germanistiky
FF - Jazykové centrum
FF - Katedra  translatológie
FF - Katedra sociológie
FF - Katedra všeob. a aplikovanej etiky
FF - Katedra náboženských štúdií
FF - Katedra žurnalistiky a nových médií
FF - Katedra kulturológie
FF - Katedra muzeológie
FF - Katedra archeológie
FF - doktorandské štúdium
FF - Katedra masmediálnej komunikácie a reklamy
FF - Katedra masm. komunikácie a reklamy
FF - Katedra politológie a euroáz.štúdií
FF - Katedra manažmentu kultúry a turizmu
FF - Katedra žurnalistiky
FF - Katedra filozofie
FF - Katedra politológie a euroázijských štúdií
FF - Katedra rusistiky
FF - Mediálne centrum
FSVaZ - Katedra psychologických vied
FSVaZ - Katedra ošetrovateľstva
FSVaZ - Ústav aplikovanej psychológie
FSVaZ - Dekanát Fakulty sociálnych vied a zdravotníctva
FSVaZ-doktorandské štúdium
FSVaZ - Ústav romologických štúdií
FSVaZ - Katedra sociálnej práce a sociálnych vied
FSVaZ - Katedra klinických disciplín a urgentnej medicíny
FSVaZ - Katedra soc. práce a soc. vied
FSŠ -Ústav stredoeur.jazykov a kultúr
FSŠ - Ústav maď.jazykovedy  a lit. vedy
FSŠ - Katedra cestovného ruchu
FSŠ - Dekanát Fakulty stredoeurópskych štúdií
FSŠ - ústav pre vzdelávanie pedagógov
FSŠ-doktorandské štúdium
R - Kancelária kvestora
R - Kancelária rektora
R - Oddelenie štipendií
Oddelenie pre medzinárodné vzťahy
Oddelenie pre vzdelávanie
Oddelenie pre vedeckovýskumnú činnosť
Odd. pre vonkajšie vzťahy a soc. veci
Oddelenie projektov
Investičné oddelenie
Študentské centrum
UKF - Univerzitná knižnica
UKF - Centrum inf. a kom. technológií
